nla gcvscore sigrat count
-1.98587376402231 0.0272268862669426 0.196889596885868 30
-1.38254479686723 0.132340539377237 0.521640608570361 28
-1.58739846027184 0.142063867826474 0.515401449188675 32
-1.33847430644458 0.228736007703634 0.695260123608778 24
-0.934740231203872 0.36704927829582 0.947150111102719 22
-0.852758816020283 0.923884800661332 1.52110341907422 32
-0.82514201520053 0.693446140663359 1.32101091521949 23
-0.775794592274177 1.34367057547859 1.85261225482618 32
-0.212600928631447 1.35117279436996 1.97444904408382 24
-1.04338346776945 1.06668556360459 1.58504841527458 26
average count = 27.3
